Law Abiding Citizen,2009,"Action, Crime, Thriller",A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.,F. Gary Gray,"Jamie Foxx, Gerard Butler",118,https://www.youtube.com/watch?v=ouD7FHrftgs
Lawless,2012,"Crime, Period, Drama","Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits.",John Hillcoat,"Shia Labeouf, Tom Hardy, Jason Clarke, Guy Pearce, Jessica Chastain, Mia Wasikowska, Dane DeHaan, Gary Oldman",115,https://www.youtube.com/watch?v=0qr9AsE0xhE
Silent Hill,2006,Horror,"A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill.",Christophe Gans,"Radha Mitchell, Laurie Holden, Sean Bean",125,https://www.youtube.com/watch?v=GncqhAQD3gI
The Mist,2007,Horror,"A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",Frank Darabont,"Thomas Jane, Marcia Gay Harden, Laurie Holden, ",125,https://www.youtube.com/watch?v=NgWY1_ck_RU
Starship Troopers,1997,"Sci-Fi, Action, Comedy, Military","Humans in a fascistic, militaristic future do battle with giant alien bugs in a fight for survival.",Paul Verhoeven,"Denise Richards, Neil Patrick Harris",129,https://www.youtube.com/watch?v=hw2sb8MXUAk
Whiplash,2014,Drama,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,"Miles Teller, J.K. Simmons",106,https://www.youtube.com/watch?v=3Gm5xCsSQdc
Spaceballs,1987,"Sci-Fi, Comedy","Planet Spaceballs' President Skroob sends Lord Dark Helmet to steal planet Druidia's abundant supply of air to replenish their own, and only Lone Starr can stop them.",Mel Brooks,"John Candy, Rick Moranis, Bill Pullman",97,https://www.youtube.com/watch?v=G4M8R7gO1ZU
The Usual Suspects,1995,"Drama, Crime","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Bryan Singer,"Kevin Spacey, Stephen Baldwin, Benicio del Toro, Gabriel Byrne",106,https://www.youtube.com/watch?v=oCdbDU6IPlY
Jobs,2013,"Drama, Biographical",The story of Steve Jobs' ascension from college dropout into one of the most revered creative entrepreneurs of the 20th century.,Joshua Michael Stern,"Ashton Kutcher, Josh Gad, Lukas Haas, J.K. Simmons",128,https://www.youtube.com/watch?v=n9oWVBhgQjI
The Tourist,2010,Thriller,"Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path.",Florian Henckel von Donnersmarck,"Johnny Depp, Angelina Jolie, Paul Bettany",103,https://www.youtube.com/watch?v=DSZZsPkdCxo
Shanghai Knights,2003,"Period, Action, Comedy","When a Chinese rebel murders Chon's estranged father and escapes to England, Chon and Roy make their way to London with revenge on their minds.",David Dobkin,"Jackie Chan, Owen Wilson, Aaron Taylor-Johnson, Aidan Gillen, Donnie Yen",114,https://www.youtube.com/watch?v=A0J7DkFcRLg
Blow,2001,"Drama, Biographical, Crime","The story of George Jung, along with the Medellín Cartel, headed by Pablo Escobar established the American cocaine market in the 1970s in the United States.",Ted Demme,"Johnny Depp, Penelope Cruz, Ray Liotta",149,https://www.youtube.com/watch?v=VQj68mHmy_M
A Beautiful Mind,2001,"Drama, Biographical","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly, Paul Bettany",135,https://www.youtube.com/watch?v=bgfZ7db0e6I
,,,,,,,
The Boondock Saints,1999,"Action, Crime",Fraternal twins set out to rid Boston of the evil men operating there while being tracked down by an FBI agent.,Troy Duffy,"Willem Dafoe, Sean Patrick Flanery, Norman Reedus",127,https://www.youtube.com/watch?v=uhbTu57k5-w
Face/Off,1997,Action,"In order to foil an extortion plot, an FBI agent undergoes a facial transplant surgery and assumes the identity and physical appearance of a terrorist, but the plan turns from bad to worse when the same terrorist impersonates the FBI agent.",John Woo,"Nicolas Cage, John Travolta, Joan Allen",173,https://www.youtube.com/watch?v=5RW3UPQKDwA
National Treasure,2004,Action,A historian races to find the legendary Templar Treasure before a team of mercenaries.,Jon Turtletaub,"Nicolas Cage, Harvey Keitel, Jon Voight, Diane Kruger, Sean Bean",153,https://www.youtube.com/watch?v=TJQseE3fR5w
Enemy Of The State,1998,"Action, Thriller",A lawyer becomes a target by a corrupt politician and his NSA goons when he accidentally receives key evidence to a serious politically motivated crime.,Tony Scott,"Will Smith, Gene Hackman, Jon Voight, Jack Black",149,https://www.youtube.com/watch?v=aqGi7-VF3jI
